#<time>,	<Q_Input>(cm^/s)
0.000000000000000e+00,	0.000000000000000e+00
4.000066667777797e-05,	3.141644962660321e-04
8.000133335555594e-05,	6.283289615242379e-04
1.200020000333339e-04,	9.424933647667942e-04
1.600026667111119e-04,	1.256657674985884e-03
2.000033333888898e-04,	1.570821861173699e-03
2.400040000666678e-04,	1.884985892322444e-03
2.800046667444458e-04,	2.199149737424338e-03
3.200053334222237e-04,	2.513313365471621e-03
3.600060001000017e-04,	2.827476745456549e-03
4.000066667777797e-04,	3.141639846371409e-03
4.400073334555577e-04,	3.455802637208510e-03
4.800080001333356e-04,	3.769965086960196e-03
5.200086668111136e-04,	4.084127164618841e-03
5.600093334888915e-04,	4.398288839176859e-03
6.000100001666695e-04,	4.712450079626702e-03
6.400106668444475e-04,	5.026610854960864e-03
6.800113335222255e-04,	5.340771134171887e-03
7.200120002000034e-04,	5.654930886252360e-03
7.600126668777814e-04,	5.969090080194928e-03
8.000133335555594e-04,	6.283248684992283e-03
8.400140002333374e-04,	6.597406669637183e-03
8.800146669111153e-04,	6.911564003122445e-03
9.200153335888933e-04,	7.225720654440948e-03
9.600160002666712e-04,	7.539876592585641e-03
1.000016666944449e-03,	7.854031786549543e-03
1.040017333622227e-03,	8.168186205325743e-03
1.080018000300005e-03,	8.482339817907414e-03
1.120018666977783e-03,	8.796492593287800e-03
1.160019333655561e-03,	9.110644500460235e-03
1.200020000333339e-03,	9.424795508418130e-03
1.240020667011117e-03,	9.738945586154997e-03
1.280021333688895e-03,	1.005309470266443e-02
1.320022000366673e-03,	1.036724282694011e-02
1.360022667044451e-03,	1.068138992797585e-02
1.400023333722229e-03,	1.099553597476552e-02
1.440024000400007e-03,	1.130968093630312e-02
1.480024667077785e-03,	1.162382478158275e-02
1.520025333755563e-03,	1.193796747959864e-02
1.560026000433341e-03,	1.225210899934509e-02
1.600026667111119e-03,	1.256624930981655e-02
1.640027333788897e-03,	1.288038838000759e-02
1.680028000466675e-03,	1.319452617891288e-02
1.720028667144453e-03,	1.350866267552724e-02
1.760029333822231e-03,	1.382279783884560e-02
1.800030000500009e-03,	1.413693163786303e-02
1.840030667177787e-03,	1.445106404157473e-02
1.880031333855565e-03,	1.476519501897606e-02
1.920032000533342e-03,	1.507932453906247e-02
1.960032667211121e-03,	1.539345257082962e-02
2.000033333888898e-03,	1.570757908327326e-02
2.040034000566677e-03,	1.602170404538932e-02
2.080034667244454e-03,	1.633582742617386e-02
2.120035333922232e-03,	1.664994919462315e-02
2.160036000600010e-03,	1.696406931973354e-02
2.200036667277788e-03,	1.727818777050161e-02
2.240037333955566e-03,	1.759230451592406e-02
2.280038000633344e-03,	1.790641952499780e-02
2.320038667311122e-03,	1.822053276671987e-02
2.360039333988900e-03,	1.853464421008750e-02
2.400040000666678e-03,	1.884875382409811e-02
2.440040667344456e-03,	1.916286157774929e-02
2.480041334022234e-03,	1.947696744003880e-02
2.520042000700012e-03,	1.979107137996462e-02
2.560042667377790e-03,	2.010517336652489e-02
2.600043334055568e-03,	2.041927336871795e-02
2.640044000733346e-03,	2.073337135554236e-02
2.680044667411124e-03,	2.104746729599683e-02
2.720045334088902e-03,	2.136156115908032e-02
2.760046000766680e-03,	2.167565291379197e-02
2.800046667444458e-03,	2.198974252913113e-02
2.840047334122236e-03,	2.230382997409736e-02
2.880048000800014e-03,	2.261791521769045e-02
2.920048667477792e-03,	2.293199822891039e-02
2.960049334155570e-03,	2.324607897675740e-02
3.000050000833347e-03,	2.356015743023191e-02
3.040050667511126e-03,	2.387423355833461e-02
3.080051334188903e-03,	2.418830733006636e-02
3.120052000866682e-03,	2.450237871442831e-02
3.160052667544459e-03,	2.481644768042182e-02
3.200053334222238e-03,	2.513051419704850e-02
3.240054000900015e-03,	2.544457823331018e-02
3.280054667577794e-03,	2.575863975820896e-02
3.320055334255571e-03,	2.607269874074717e-02
3.360056000933349e-03,	2.638675514992741e-02
3.400056667611127e-03,	2.670080895475250e-02
3.440057334288905e-03,	2.701486012422556e-02
3.480058000966683e-03,	2.732890862734993e-02
3.520058667644461e-03,	2.764295443312926e-02
3.560059334322239e-03,	2.795699751056741e-02
3.600060001000017e-03,	2.827103782866855e-02
3.640060667677795e-03,	2.858507535643710e-02
3.680061334355573e-03,	2.889911006287779e-02
3.720062001033351e-03,	2.921314191699558e-02
3.760062667711129e-03,	2.952717088779575e-02
3.800063334388907e-03,	2.984119694428383e-02
3.840064001066685e-03,	3.015522005546568e-02
3.880064667744463e-03,	3.046924019034742e-02
3.920065334422241e-03,	3.078325731793547e-02
3.960066001100018e-03,	3.109727140723655e-02
4.000066667777797e-03,	3.141128242725769e-02
4.040067334455575e-03,	3.172529034700619e-02
4.080068001133353e-03,	3.203929513548969e-02
4.120068667811130e-03,	3.235329676171612e-02
4.160069334488909e-03,	3.266729519469374e-02
4.200070001166687e-03,	3.298129040343111e-02
4.240070667844465e-03,	3.329528235693712e-02
4.280071334522242e-03,	3.360927102422095e-02
4.320072001200020e-03,	3.392325637429214e-02
4.360072667877799e-03,	3.423723837616056e-02
4.400073334555577e-03,	3.455121699883638e-02
4.440074001233354e-03,	3.486519221133012e-02
4.480074667911132e-03,	3.517916398265263e-02
4.520075334588911e-03,	3.549313228181514e-02
4.560076001266689e-03,	3.580709707782914e-02
4.600076667944466e-03,	3.612105833970654e-02
4.640077334622244e-03,	3.643501603645957e-02
4.680078001300022e-03,	3.674897013710082e-02
4.720078667977801e-03,	3.706292061064322e-02
4.760079334655578e-03,	3.737686742610006e-02
4.800080001333356e-03,	3.769081055248502e-02
4.840080668011134e-03,	3.800474995881212e-02
4.880081334688913e-03,	3.831868561409574e-02
4.920082001366690e-03,	3.863261748735063e-02
4.960082668044468e-03,	3.894654554759194e-02
5.000083334722246e-03,	3.926046976383518e-02
5.040084001400024e-03,	3.957439010509624e-02
5.080084668077802e-03,	3.988830654039138e-02
5.120085334755580e-03,	4.020221903873726e-02
5.160086001433358e-03,	4.051612756915094e-02
5.200086668111135e-03,	4.083003210064984e-02
5.240087334788914e-03,	4.114393260225181e-02
5.280088001466692e-03,	4.145782904297506e-02
5.320088668144470e-03,	4.177172139183823e-02
5.360089334822247e-03,	4.208560961786034e-02
5.400090001500026e-03,	4.239949369006087e-02
5.440090668177804e-03,	4.271337357745963e-02
5.480091334855582e-03,	4.302724924907692e-02
5.520092001533359e-03,	4.334112067393339e-02
5.560092668211137e-03,	4.365498782105014e-02
5.600093334888916e-03,	4.396885065944872e-02
5.640094001566694e-03,	4.428270915815106e-02
5.680094668244471e-03,	4.459656328617952e-02
5.720095334922249e-03,	4.491041301255694e-02
5.760096001600028e-03,	4.522425830630654e-02
5.800096668277806e-03,	4.553809913645201e-02
5.840097334955583e-03,	4.585193547201744e-02
5.880098001633361e-03,	4.616576728202743e-02
5.920098668311139e-03,	4.647959453550698e-02
5.960099334988918e-03,	4.679341720148154e-02
6.000100001666695e-03,	4.710723524897702e-02
6.040100668344473e-03,	4.742104864701980e-02
6.080101335022251e-03,	4.773485736463671e-02
6.120102001700030e-03,	4.804866137085502e-02
6.160102668377807e-03,	4.836246063470249e-02
6.200103335055585e-03,	4.867625512520735e-02
6.240104001733363e-03,	4.899004481139829e-02
6.280104668411141e-03,	4.930382966230448e-02
6.320105335088919e-03,	4.961760964695554e-02
6.360106001766697e-03,	4.993138473438164e-02
6.400106668444475e-03,	5.024515489361336e-02
6.440107335122252e-03,	5.055892009368179e-02
6.480108001800031e-03,	5.087268030361853e-02
