#<numArtery>,	<numMeshPoint>
0,	0
0,	2
0,	5
0,	8
0,	11
0,	15
0,	18
0,	21
0,	24
0,	27
0,	31
0,	34
0,	37
0,	40
0,	43
0,	47
0,	50
0,	53
0,	56
0,	59
0,	63
0,	66
0,	69
0,	72
0,	75
0,	79
0,	82
0,	85
0,	88
0,	91
0,	95
0,	98
0,	101
0,	104
0,	107
0,	111
0,	114
0,	117
0,	120
0,	123
0,	127
0,	130
0,	133
0,	136
0,	139
0,	143
0,	146
0,	149
0,	152
0,	155
0,	159
0,	162
0,	165
0,	168
0,	171
0,	175
0,	178
0,	181
0,	184
0,	187
0,	191
0,	194
0,	197
0,	200
0,	203
0,	207
0,	210
0,	213
0,	216
0,	219
0,	223
0,	226
0,	229
0,	232
0,	235
0,	239
0,	242
0,	245
0,	248
0,	251
0,	255
0,	258
0,	261
0,	264
0,	267
0,	271
0,	274
0,	277
0,	280
0,	283
0,	287
0,	290
0,	293
0,	296
0,	299
0,	303
0,	306
0,	309
0,	312
0,	315
0,	319
0,	322
0,	325
0,	328
0,	331
0,	335
0,	338
0,	341
0,	344
0,	347
0,	351
0,	354
0,	357
0,	360
0,	363
0,	367
0,	370
0,	373
0,	376
0,	379
0,	383
0,	386
0,	389
0,	392
0,	395
0,	399
0,	402
0,	405
0,	408
0,	411
0,	415
0,	418
0,	421
0,	424
0,	427
0,	431
0,	434
0,	437
0,	440
0,	443
0,	447
0,	450
0,	453
0,	456
0,	459
0,	462
0,	466
0,	469
0,	472
0,	475
0,	479
0,	482
0,	485
0,	488
0,	491
0,	495
0,	498
0,	501
0,	504
0,	507
0,	511
0,	514
0,	517
0,	520
0,	523
0,	527
0,	530
0,	533
0,	536
0,	539
0,	543
0,	546
0,	549
0,	552
0,	555
0,	559
0,	562
0,	565
0,	568
0,	571
0,	575
0,	578
0,	581
0,	584
0,	587
0,	591
0,	594
0,	597
0,	600
0,	603
0,	607
0,	610
0,	613
0,	616
0,	619
0,	623
0,	626
0,	629
0,	632
0,	635
0,	639
0,	642
0,	645
0,	648
0,	651
0,	655
0,	658
0,	661
0,	664
0,	667
0,	671
0,	674
0,	677
0,	680
0,	683
0,	687
0,	690
0,	693
0,	696
0,	699
0,	703
0,	706
0,	709
0,	712
0,	715
0,	719
0,	722
0,	725
0,	728
0,	731
0,	735
0,	738
0,	741
0,	744
0,	747
0,	751
0,	754
0,	757
0,	760
0,	763
0,	767
0,	770
0,	773
0,	776
0,	779
0,	783
0,	786
0,	789
0,	792
0,	795
0,	799
0,	802
0,	805
0,	808
0,	811
0,	815
0,	818
0,	821
0,	824
0,	827
0,	831
0,	834
0,	837
0,	840
0,	843
0,	847
0,	850
0,	853
0,	856
0,	859
0,	863
0,	866
0,	869
0,	872
0,	875
0,	879
0,	882
0,	885
0,	888
0,	891
0,	895
0,	898
0,	901
0,	904
0,	907
0,	911
0,	914
0,	917
0,	920
0,	923
0,	926
0,	930
0,	933
0,	936
0,	939
0,	943
0,	946
0,	949
0,	952
0,	955
0,	959
0,	962
0,	965
0,	968
0,	971
0,	975
0,	978
0,	981
0,	984
0,	987
0,	991
0,	994
0,	997
0,	1000
0,	1003
0,	1007
0,	1010
0,	1013
0,	1016
0,	1019
0,	1023
0,	1026
0,	1029
0,	1032
0,	1035
0,	1039
0,	1042
0,	1045
0,	1048
0,	1051
0,	1055
0,	1058
0,	1061
0,	1064
0,	1067
0,	1071
0,	1074
0,	1077
0,	1080
0,	1083
0,	1087
0,	1090
0,	1093
0,	1096
0,	1099
0,	1103
0,	1106
0,	1109
0,	1112
0,	1115
0,	1119
0,	1122
0,	1125
0,	1128
0,	1131
0,	1135
0,	1138
0,	1141
0,	1144
0,	1147
0,	1151
0,	1154
0,	1157
0,	1160
0,	1163
0,	1167
0,	1170
0,	1173
0,	1176
0,	1179
0,	1183
